epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.607679041265056,0.7104589324404176,0.4377276718184568,0.8260869565217391,0.0001
2,0.4633289019857684,0.7864880835138861,0.3125194231735557,0.8929765886287625,0.0001
3,0.40544452712670637,0.8205633247981091,0.2338987609730782,0.907469342251951,0.0001
4,0.3654082449127751,0.8447902304510537,0.23333067421198156,0.9186176142697882,0.0001
5,0.32842397747932983,0.8631081347252314,0.21251819711780734,0.9219620958751393,0.0001
6,0.30698240938291366,0.8763049044711444,0.26468892284194495,0.8461538461538461,0.0001
7,0.24243230308096592,0.8983651762852078,0.1673374509453408,0.9542920847268673,0.0001
8,0.19915325657672034,0.9265314161906638,0.18328586600486235,0.9308807134894092,0.0001
9,0.1793162103478942,0.9351979515461887,0.13271980320177182,0.9520624303232998,0.0001
10,0.14914781060961316,0.9438644869017137,0.1360948095689948,0.9487179487179487,0.0001
